최종 입지 선정 결과,Latitude,Longitude,
광주 북구 하백로 45,35.19124,126.8896137,
광주 북구 운암동 99,35.1753652,126.8811196,
광주 북구 경열로 250,35.161298,126.9078571,
광주 북구 두암동 608,35.17795,126.9306716,
광주 북구 대천로 140-1,35.1868253,126.9213522,
광주 동구 무등로375번길 1,35.1607129,126.9236552,
광주 동구 필문대로159번길 15,35.1570401,126.9339888,
광주 동구 준법로 7-12,35.1504547,126.9346257,
광주 광산구 수등로 205,35.1855357,126.8308594,
광주 광산구 왕버들로252번길 46,35.1948382,126.8341663,
광주 광산구 왕버들로251번길 27,35.1982114,126.8366295,
광주 광산구 장덕동 1698,35.1916079,126.8088137,
광주 광산구 소촌동 271-4,35.1538949,126.7928193,
광주 광산구 목련로21번길 45,35.1749034,126.7989144,
광주 광산구 흑석동 59-2,35.1832543,126.8092095,
광주 남구 임암동 산90-11,35.0967737,126.8766514,
광주 남구 백운로82번길 10,35.1406504,126.9076995,
광주 동구 증심천로 88,35.1335686,126.9380738,
광주 광산구 평동산단2번로 69,35.133521,126.7645322,
광주 동구 화산로 328-6,35.1179521,126.9309011,
광주 동구 독립로 284-2,35.1560082,126.9130138,
광주 서구 광천동 46-5,35.1611982,126.88053,
광주 광산구 소촌동 21-1,35.1517032,126.8051401,
광주 동구 운림동 658-2,35.1322262,126.9434051,
광주 서구 서창동 산21-2,35.110046,126.8230897,
광주 북구 임방울대로1041번길 3,35.2129997,126.8711426,
광주 남구 백운동 659-1,35.1361963,126.8978122,
광주 광산구 상무대로 420-25,35.14,126.8105,
,,,126.8105
